그림 번호,파일명,캡션,수록 장
그림 1.1,그림1-1_편익과_윤리적_문제.png,편익과 윤리적 문제-하나의 기능을 서로 다른 사람의 입장에서 보기,01장_인공지능_윤리의_이해.docx
그림 1.2,그림1-2_개발과_운영의_책임.png,개발과_운영의_책임 -AI에게 요청한 뒤에도 이어지는 사람의 역할,01장_인공지능_윤리의_이해.docx
그림 1.3,그림1-3_개인정보와_포용성.png,개인정보와_포용성_윤리 개념을 설계 조건과 확인 방법으로 바꾸기,01장_인공지능_윤리의_이해.docx
그림 1.4,그림1-4_윤리적_판단.png,윤리적_판단-사실과 영향을 살펴 판단하고 다시 검토하기,01장_인공지능_윤리의_이해.docx
그림 2.1,그림2-1.png,"인공지능 윤리원칙과 실천 지침, 법·제도의 관계 (그림에서 화살표는 이 장의 학습 흐름이며 서로 대체되는 단계나 모든 문서의 법적 전환을 뜻하지 않습니다.)",02장_국내외_인공지능_윤리_동향과_법_제도.docx
그림 3.1,그림3.1.png,개인정보의 수집부터 파기까지 이어지는 검토,03장_개인정보_보호와_저작권_및_디지털_자료의_이용.docx
그림 3.2,그림3.2.png,AI를 활용한 창작과 결과물의 공개 전 검토,03장_개인정보_보호와_저작권_및_디지털_자료의_이용.docx
그림 3.3,그림3.3.png,한국저작권위원회의 AI·저작권 안내서 제공 페이지(AI-저작권 안내서(4종) 모음 > 알림(상세) > 알림사항 > 소식 > 한국저작권위원회),03장_개인정보_보호와_저작권_및_디지털_자료의_이용.docx
그림 3.3,그림3.3.png,미국 저작권청의 AI·저작권 자료 제공 페이지 (Copyright and Artificial Intelligence | U.S. Copyright Office),03장_개인정보_보호와_저작권_및_디지털_자료의_이용.docx
그림 3.3,그림3.3.png,디지털 자료의 이용 조건과 출처 기록,03장_개인정보_보호와_저작권_및_디지털_자료의_이용.docx
그림 4.1,그림4.1.jpg,완성된 「나만의 지도」 전체 화면,04장_이_책에서_만드는_것.docx
그림 4.2,그림4.2.png,마커 클릭 시 나타나는 커스텀 말풍선,04장_이_책에서_만드는_것.docx
그림 4.3,그림4.3.jpg,카테고리 필터로 카페만 표시한 화면,04장_이_책에서_만드는_것.docx
그림 4.4,그림4.4.jpg,키워드 검색 결과와 장소 추가 버튼,04장_이_책에서_만드는_것.docx
그림 4.5,그림4.5.jpg,별점과 메모를 편집하는 상세 패널,04장_이_책에서_만드는_것.docx
그림 4.6,그림4.6.jpg,바이브코딩의 흐름: 말하기 → AI가 코드 작성 → 함께 읽기 → 확인하기,04장_이_책에서_만드는_것.docx
그림 4.7,그림4.7.png,이 책의 로드맵: 준비운동부터 세상에 공개하기까지,04장_이_책에서_만드는_것.docx
그림 5.1,그림5.1.png,전통적 코딩과 바이브코딩의 순서 비교,05장_왜_바이브코딩인가.docx
그림 5.2,그림5.2.png,저자의 바이브코딩 워크플로 한눈에 보기,05장_왜_바이브코딩인가.docx
그림 5.3,그림5.3.png,외울 것과 이해할 것,05장_왜_바이브코딩인가.docx
그림 5.4,그림5.4.png,바이브코딩 3원칙: 작게 시키기 · 확인하기 · 되돌리기,05장_왜_바이브코딩인가.docx
그림 5.5,그림5.5.png,도구 5종의 역할 지도,05장_왜_바이브코딩인가.docx
그림 6.1,그림6.1.png,설치 전 node -v 실행 결과,06장_Node.js_설치.docx
그림 6.2,그림6.2.jpg,nodejs.org 다운로드 페이지,06장_Node.js_설치.docx
그림 6.3,그림6.3.png,설치 마법사 시작 화면 (예시),06장_Node.js_설치.docx
그림 6.4,그림6.4.png,구성 요소 선택 화면 예시 (npm과 Add to PATH 확인),06장_Node.js_설치.docx
그림 6.5,그림6.5.png,Tools for Native Modules 화면 예시 (체크 해제 상태),06장_Node.js_설치.docx
그림 6.6,그림6.6.png,설치 완료 화면 (예시),06장_Node.js_설치.docx
그림 6.7,그림6.7.png,node -v와 npm -v 버전 확인 결과 (출력 예시),06장_Node.js_설치.docx
그림 6.8,그림6.8.png,환경 변수 편집 창에서 Path에 nodejs 경로 확인,06장_Node.js_설치.docx
그림 7.1,그림7.1.png,git이 설치되어 있지 않을 때의 터미널 화면 (출력 예시),07장_Git_for_Windows_설치.docx
그림 7.2,그림7.2.png,gitforwindows.org 다운로드 페이지,07장_Git_for_Windows_설치.docx
그림 7.3,그림7.3.png,기본 에디터 선택 화면 (기본값은 Vim이다 — 목록을 펼쳐 Notepad로 바꾼다),07장_Git_for_Windows_설치.docx
그림 7.4,그림7.4.png,PATH 설정 화면. 가운데 Recommended 옵션이 선택된 모습,07장_Git_for_Windows_설치.docx
그림 7.5,그림7.5.png,git 버전 확인 성공,07장_Git_for_Windows_설치.docx
그림 7.6,그림7.6.png,user.name과 user.email이 등록된 모습,07장_Git_for_Windows_설치.docx
그림 7.7,그림7.7.jpg,저장소·커밋·브랜치 한 컷 개념도,07장_Git_for_Windows_설치.docx
그림 8.1,그림8.1.jpg,챗봇 방식과 Claude Code 방식의 차이,08장_Claude_Code_설치하고_길들이기.docx
그림 8.2,그림8.2.png,claude.ai 가입 화면 (예시),08장_Claude_Code_설치하고_길들이기.docx
그림 8.3,그림8.3.png,npm으로 Claude Code 설치 (출력 예시),08장_Claude_Code_설치하고_길들이기.docx
그림 8.4,그림8.4.png,claude --version으로 설치 확인,08장_Claude_Code_설치하고_길들이기.docx
그림 8.5,그림8.5.png,Claude Code 첫 실행 화면,08장_Claude_Code_설치하고_길들이기.docx
그림 8.6,그림8.6.png,프롬프트의 4요소,08장_Claude_Code_설치하고_길들이기.docx
그림 8.7,그림8.7.png,권한 프롬프트 화면,08장_Claude_Code_설치하고_길들이기.docx
그림 9.1,그림9.1.png,GitHub 가입 페이지 (예시),09장_GitHub_CLI로_깃허브_연결.docx
그림 9.2,그림9.2.png,winget으로 GitHub CLI 설치 (출력 예시),09장_GitHub_CLI로_깃허브_연결.docx
